State,PUMA,Age,PINCP,Area,Features,Comments
KS,100,41,40000,NW Kansas,,
KS,200,41,41170,North+AC0-Central Kansas,,
KS,300,26,32000,Riley County and surrounding,Manhattan and KSU,
KS,400,37,41200,NE Kansas,,
KS,500,33,39000,Wyandotte County,KCK,
KS,601,38,80000,Johnson County,,
KS,602,37,64500,Johnson County,,
KS,603,34,67365,Johnson County,,
KS,604,39,104850,Johnson County,Overland Park?,
KS,700,29,25200,Douglas County,Lawrence and KU,
KS,801,36,31750,Topeka area,,
KS,802,41,52700,Topeka area,,
KS,900,41,37000,SE Kansas,,
KS,1000,40,40000,NW of Wichita,,
KS,1100,41,40800,+ACI-South+AC0-Central Kansas, excluding Wichita+ACI-,,
KS,1200,31,48000,SW Kansas,,Petroleum industry? Young and high income for rural area.
KS,1301,37,59000,Wichita area,,
KS,1302,36,51800,Wichita area,,
KS,1303,32,30000,Wichita area,,
KS,1304,34,51000,Wichita area,,
KS,1400,40,40750,SE Kansas,,
KS,1500,38,34600,SE Kansas,,
